mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
0.95450211,0.01999972,0.01419959,3.93E-04,40,10,100,0.87872763,0.87673956,0.89442231,0.86454183,0.88047809,0.87898189,0.00953156
1.87540469,0.03762657,0.02641907,3.95E-04,40,10,200,0.87872763,0.87673956,0.89641434,0.8625498,0.88844622,0.88057551,0.01145314
3.72811499,0.07409424,0.05240684,1.81E-03,40,10,400,0.87673956,0.87077535,0.89442231,0.8625498,0.87848606,0.87659462,0.01051234
0.17639251,0.0071962,0.00289407,1.90E-04,40,20,10,0.87276342,0.86878728,0.87848606,0.83864542,0.86055777,0.86384799,0.01388632
0.86187425,0.02623933,0.00782819,2.35E-04,40,20,50,0.87475149,0.86481113,0.88247012,0.85258964,0.87848606,0.87062169,0.01075366
1.69860525,0.04815103,0.01370111,2.74E-04,40,20,100,0.87872763,0.88071571,0.89641434,0.86055777,0.88047809,0.87937871,0.01138298
3.45621405,0.12543621,0.02623525,4.38E-04,40,20,200,0.87475149,0.87077535,0.89243028,0.85856574,0.88047809,0.87540019,0.01114466
7.08846197,0.20577872,0.05412474,1.94E-03,40,20,400,0.87475149,0.87872763,0.88844622,0.85856574,0.88047809,0.87619383,0.0098765
0.35604353,0.01570853,0.00289345,4.70E-05,40,40,10,0.86878728,0.84493042,0.88645418,0.83665339,0.87250996,0.86186704,0.01837535
1.73689528,0.06186764,0.00786176,2.13E-04,40,40,50,0.87475149,0.86481113,0.88645418,0.85856574,0.88446215,0.87380894,0.01084064
3.43516378,0.06751828,0.01412077,3.05E-04,40,40,100,0.87276342,0.85884692,0.89243028,0.85856574,0.87848606,0.87221848,0.01275376
6.83189559,0.26395765,0.02598209,4.21E-04,40,40,200,0.88469185,0.86481113,0.88645418,0.84661355,0.88446215,0.87340657,0.01556645
13.52480526,0.37491629,0.05080566,1.94E-03,40,40,400,0.87673956,0.86083499,0.88446215,0.85258964,0.88047809,0.87102089,0.01221698
0.48542109,0.01766624,0.00288572,8.05E-05,40,55,10,0.86878728,0.8528827,0.86454183,0.85059761,0.85059761,0.85748141,0.00766282
2.34978805,0.0882895,0.00750175,1.63E-04,40,55,50,0.88667992,0.86282306,0.88047809,0.8625498,0.8625498,0.87101613,0.01044382
4.71051283,0.20793668,0.013766,5.68E-04,40,55,100,0.87475149,0.85884692,0.87649402,0.84262948,0.87649402,0.86584319,0.01337208
9.41297503,0.29400682,0.02573862,8.68E-04,40,55,200,0.88270378,0.8667992,0.88247012,0.84860558,0.87250996,0.87061773,0.01256382
18.83073092,0.70059904,0.05019331,1.38E-03,40,55,400,0.88667992,0.85685885,0.88645418,0.85059761,0.87250996,0.8706201,0.01484911
